Rank,TC Number,Railway Company,Region,Province,Access,Jurisdiction,Mile,Subdivision,Spur Mile Point,Spur Name,Location,Latitude,Longitude,Road  Authority,Protection,Accidents,Fatality,Injury,Trains Daily,Vehicles Daily,Train Max Speed (mph),Road Speed (km/h),Lanes,Tracks,IsUrban
11608,12853,Arnprior - Nepean Railway,ONT,ON,Public,P,17.51,Renfrew,"-","-",Loggers Way,45.3994,-76.1986,Ottawa (ON),Passive,false,false,false,"1",285,"30",60,2,1,N
11667,12849,Arnprior - Nepean Railway,ONT,ON,Public,P,14.63,Renfrew,"-","-",Grant's Side Road,45.377,-76.1528,Ottawa (ON),Passive,false,false,false,"1",44,"30",90,2,1,N
12036,12844,Arnprior - Nepean Railway,ONT,ON,Public,P,8.8,Renfrew,"-","-",Donald B Munro Dr.,45.3446,-76.0405,Ottawa (ON),Active - FLB,false,false,false,"0.3",745,"10",60,2,1,N
13023,46517,Capital Railway,ONT,ON,Public,F,6.88,Ellwood,"-","-",Lester Rd,45.3339,-75.6439,Ottawa (ON),Active - FLB,false,false,false,"1",25,"10",80,2,1,N
13699,12848,Arnprior - Nepean Railway,ONT,ON,Public,P,14.12,Renfrew,"-","-",John Shaw Road,45.3741,-76.1428,Ottawa (ON),Passive,false,false,false,"1",108,"30",70,2,1,N
14492,12854,Arnprior - Nepean Railway,ONT,ON,Public,P,18.09,Renfrew,"-","-",Rabbit Path,45.4076,-76.2002,Ottawa (ON),Passive,false,false,false,"1",75,"30",60,2,1,N
14759,12859,Arnprior - Nepean Railway,ONT,ON,Public,P,22.42,Renfrew,"-","-",MacHardy Road,45.4258,-76.2802,Ottawa (ON),Passive,false,false,false,"1",66,"30",60,2,1,N
15001,12856,Arnprior - Nepean Railway,ONT,ON,Public,P,20.38,Renfrew,"-","-",Riddledale Road,45.4258,-76.239,Ottawa (ON),Passive,false,false,false,"1",60,"30",50,2,1,N
15646,49362,Canadian National Railway,ONT,ON,Public,F,0.45,Walkley Line,"0.27",Hydro Lead,Ridge Rd,45.3906,-75.5987,Ottawa (ON),Passive,false,false,false,"1",25,"10",80,2,1,N
15647,300352,Arnprior - Nepean Railway,ONT,ON,Public,P,5.6,Renfrew,"-","-","-",45.3315,-75.9798,Ottawa (ON),Passive,false,false,false,"1",25,"10",80,2,1,N
17018,300310,Arnprior - Nepean Railway,ONT,ON,Public,P,2.66,Renfrew,"-","-",Pedestrian Path,45.3357,-75.9214,Ottawa (ON),Passive,false,false,false,"1",1,"30",80,1,2,Y
17520,300383,Arnprior - Nepean Railway,ONT,ON,Private,P,23.42,Renfrew,"-","-","-",45.4278,-76.3039,Ottawa (ON),Passive,false,false,false,"1",10,"30",25,2,1,N
